"gov","minoria","pmdb","psd","psdb","pt","resultado","KIND"
"2","2","2","2","2","2","0.99",0
"0","2","2","2","2","2","0.972",0
"2","0","2","2","2","2","0.99",0
"0","0","2","2","2","2","0.886",0
"2","1","2","2","2","2","0.99",0
"0","1","2","2","2","2","0.93",0
"2","2","0","2","2","2","0.892",0
"0","2","0","2","2","2","0.788",0
"2","0","0","2","2","2","0.756",0
"0","0","0","2","2","2","0.578",0
"2","1","0","2","2","2","0.882",0
"0","1","0","2","2","2","0.712",0
"2","2","1","2","2","2","0.928",0
"0","2","1","2","2","2","0.844",0
"2","0","1","2","2","2","0.788",0
"0","0","1","2","2","2","0.614",0
"2","1","1","2","2","2","0.886",0
"0","1","1","2","2","2","0.744",0
"2","2","2","0","2","2","0.828",0
"0","2","2","0","2","2","0.594",0
"2","0","2","0","2","2","0.868",0
"0","0","2","0","2","2","0.602",0
"2","1","2","0","2","2","0.886",0
"0","1","2","0","2","2","0.642",0
"2","2","0","0","2","2","0.472",0
"0","2","0","0","2","2","0.212",0
"2","0","0","0","2","2","0.412",0
"0","0","0","0","2","2","0.184",0
"2","1","0","0","2","2","0.566",0
"0","1","0","0","2","2","0.28",0
"2","2","1","0","2","2","0.466",0
"0","2","1","0","2","2","0.262",0
"2","0","1","0","2","2","0.392",0
"0","0","1","0","2","2","0.198",0
"2","1","1","0","2","2","0.532",0
"0","1","1","0","2","2","0.302",0
"2","2","2","1","2","2","0.97",0
"0","2","2","1","2","2","0.878",0
"2","0","2","1","2","2","0.968",0
"0","0","2","1","2","2","0.794",0
"2","1","2","1","2","2","0.98",0
"0","1","2","1","2","2","0.806",0
"2","2","0","1","2","2","0.81",0
"0","2","0","1","2","2","0.628",0
"2","0","0","1","2","2","0.684",0
"0","0","0","1","2","2","0.474",0
"2","1","0","1","2","2","0.854",0
"0","1","0","1","2","2","0.542",0
"2","2","1","1","2","2","0.81",0
"0","2","1","1","2","2","0.676",0
"2","0","1","1","2","2","0.684",0
"0","0","1","1","2","2","0.488",0
"2","1","1","1","2","2","0.802",0
"0","1","1","1","2","2","0.538",0
"2","2","2","2","0","2","0.99",0
"0","2","2","2","0","2","0.89",0
"2","0","2","2","0","2","0.99",0
"0","0","2","2","0","2","0.8",0
"2","1","2","2","0","2","0.99",0
"0","1","2","2","0","2","0.85",0
"2","2","0","2","0","2","0.702",0
"0","2","0","2","0","2","0.572",0
"2","0","0","2","0","2","0.57",0
"0","0","0","2","0","2","0.362",0
"2","1","0","2","0","2","0.722",0
"0","1","0","2","0","2","0.524",0
"2","2","1","2","0","2","0.764",0
"0","2","1","2","0","2","0.624",0
"2","0","1","2","0","2","0.628",0
"0","0","1","2","0","2","0.394",0
"2","1","1","2","0","2","0.746",0
"0","1","1","2","0","2","0.544",0
"2","2","2","0","0","2","0.846",0
"0","2","2","0","0","2","0.586",0
"2","0","2","0","0","2","0.886",0
"0","0","2","0","0","2","0.594",0
"2","1","2","0","0","2","0.898",0
