"ID_VOTACAO","governismo","grupo_governismo","DATA","HORA","ORIENTACAO_GOVERNO","TIPO","NUMERO","ANO","EMENTA","O_QUE_FOI_VOTADO","LINGUAGEM_COMUM"
"03c46dc496381c3be742de9b603a0c00",0.900621118012422,1,150326,"11:19:00","Sim","REQ",1125,2015,"Com base no art. 155 do Regimento Interno, requeremos regime de urgência para a apreciação do PL 6701/2013.","Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 290; não: 32; abstenção: 3; total: 325.","Pena para diretores de presídio onde presos falam por celular"
"043c4680de868d0b0615f03cadfbc3f4",0.554524361948956,0,150317,"19:52:00","Sim","PLP",302,2013,"Dispõe sobre o contrato de trabalho doméstico; altera as Leis nº 8.212, de 24 de julho de 1991, nº 8.213, de 24 de julho de 1991, e Lei nº 11.196, de 21 de novembro de 2005; revoga o inciso I do art. 3º da Lei nº 8.009, de 29 de março de 1990, o art. 36 da Lei nº 8.213, de 24 de julho de 1991, a Lei nº 5.859, de 11 de dezembro de 1972, e o inciso VII do art. 12 da Lei nº 9.250, de 26 de dezembro 1995; e dá outras providências.","","Regulamentação do trabalho doméstico"
"04c89b39adc4e9409af6122a55e5cf98",0.613526570048309,0,150317,"18:46:00","Sim","PLP",302,2013,"Dispõe sobre o contrato de trabalho doméstico; altera as Leis nº 8.212, de 24 de julho de 1991, nº 8.213, de 24 de julho de 1991, e Lei nº 11.196, de 21 de novembro de 2005; revoga o inciso I do art. 3º da Lei nº 8.009, de 29 de março de 1990, o art. 36 da Lei nº 8.213, de 24 de julho de 1991, a Lei nº 5.859, de 11 de dezembro de 1972, e o inciso VII do art. 12 da Lei nº 9.250, de 26 de dezembro 1995; e dá outras providências.","","Regulamentação do trabalho doméstico"
"05c65207cced7156ac342ee84c18e446",0.584352078239609,0,150324,"18:07:00","Não","REQ",1108,2015,"Com base no art. 155 do Regimento Interno, requeremos regime de urgência para a apreciação do PLP 34/2015","Rejeitado o Requerimento de Urgência (Art. 155 do RICD). Sim: 170; não: 239; abstenção: 3; total: 412.","Processo penal específico para cada Estado"
"06631cf7d908a0366abed92a1188da62",0.677033492822967,0,150427,"21:31:00","Não","PL",7735,2014,"Regulamenta o inciso II do § 1º e o § 4º do art. 225 da Constituição Federal, o Artigo 1,  a alínea j do Artigo 8, a alínea c do Artigo 10, o Artigo 15 e os §§ 3º e 4º do Artigo 16 da Convenção sobre Diversidade Biológica, promulgada pelo Decreto nº 2.519, de 16 de março de 1998; dispõe sobre o acesso ao patrimônio genético, sobre a proteção e o acesso ao conhecimento tradicional associado e sobre a repartição de benefícios para conservação e uso sustentável da biodiversidade; revoga a Medida Provisória nº 2.186-16, de 23 de agosto de 2001; e dá outras providências.","Rejeitada a Emenda nº 3. Sim: 135; não: 283; abstenções: 2; total: 420.",""
"098152086d70e3a451dcbde78d826bf1",0.412621359223301,0,150310,"18:13:00","Sim","PL",3771,2012,"Dispõe sobre a política de valorização de longo prazo do salário mínimo.","Rejeitado o Requerimento. Sim: 170; não: 242; total: 412.","Reajuste do salário mínimo"
"09fefc062aca9f27798925bf189d5b70",0.503649635036496,0,150317,"19:28:00","Não","PLP",302,2013,"Dispõe sobre o contrato de trabalho doméstico; altera as Leis nº 8.212, de 24 de julho de 1991, nº 8.213, de 24 de julho de 1991, e Lei nº 11.196, de 21 de novembro de 2005; revoga o inciso I do art. 3º da Lei nº 8.009, de 29 de março de 1990, o art. 36 da Lei nº 8.213, de 24 de julho de 1991, a Lei nº 5.859, de 11 de dezembro de 1972, e o inciso VII do art. 12 da Lei nº 9.250, de 26 de dezembro 1995; e dá outras providências.","","Regulamentação do trabalho doméstico"
"145460fa8cd0d3c70d8a9c4b862e9f2d",0.468822170900693,0,150422,"19:27:00","Não","PL",4330,2004,"Dispõe sobre os contratos de terceirização e as relações de trabalho deles decorrentes.","",""
"145c2ccb71b5060ca9834b788535561a",0.703296703296703,0,150428,"20:41:00","Sim","PL",4148,2008,"Altera a Lei nº 11.105, de 24 de março de 2005.","Aprovada a Subemenda Substitutiva Global oferecida pelo Relator da Comissão de Desenvolvimento Econômico, Indústria e Comércio ao Projeto de Lei nº 4.148 de 2008, ressalvados os destaques. Sim: 320; não: 135; abstenção: 2; total: 457.",""
"14ddf561122546e8f4c8f8226f28087e",0.986842105263158,1,150325,"22:21:00","Sim","PL",789,2007,"Altera a Lei nº 8.069, de 13 de julho de 1990, a fim de tipificar como crime o emprego de criança e adolescente para a realização dos delitos que menciona.","Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.","Criminaliza o trabalho infantil"
