"votacao_real","simulacao_governo","votacao_nome","ganhou_simulacao"
"1","1","Pena para diretores de presídio onde presos falam por celular",1
"1","1","Regulamentação do trabalho doméstico",1
"1","1","Regulamentação do trabalho doméstico",1
"1","0.00213","Processo penal específico para cada Estado",0
"1","1","",1
"0","0.00024","Reajuste do salário mínimo",0
"1","1","Regulamentação do trabalho doméstico",1
"0","2e-05","",1
"1","1","",1
"1","1","Criminaliza o trabalho infantil",1
"1","1","",1
"0","0.04389","Requerimento de urgência para PL da terceirização",0
"1","1","Regulamentação do trabalho doméstico",1
"1","1","",1
"0","0.01234","Autoriza União a conceder crédito ao BNDES",0
"1","1","PEC do Orçamento Impositivo",1
"0","0","Lei dos Caminhoneiros",0
"1","1","",1
"1","1","",1
"1","1","Garante vaga a mulheres na Mesa Diretora",1
"1","1","Cota de mulheres na Mesa Diretora",1
"0","4e-05","",1
"1","0.04522","Salário de ex-funcionários de território federal",0
"1","2e-04","Muda pena para uso de explosão durante furto",1
"1","1","",1
"1","1","",1
"1","1","Regulamentação do trabalho doméstico",1
"1","1","Define crime de abuso de autoridade",1
"1","1","Correção do salário mínimo",1
"1","1","Correção do salário mínimo",1
"1","1","",1
"1","1","Publicação de dados de elucidação de crimes por UF",1
"1","0.00012","Estatuto do portador de deficiência",0
"1","1","",1
"1","1","",1
"1","1","Cota de mulheres na Mesa Diretora",1
"1","1","Salário do Defensor Público-Geral Federal",1
"0","0.12656","Perda de cargo de policiais que usarem tortura",0
"1","0.00256","Regulamentação do trabalho doméstico",0
"0","0.06596","Tipifica crime de terrorismo",0
"1","1","",1
"1","1","Regulamentação do trabalho doméstico",1
"1","1","",1
"0","0.00012","",0
"1","1","",1
"1","1","",1
"0","0.03528","Adesão do Brasil a organização astronômica internacional",0
"1","NaN","PEC do Orçamento Impositivo",1
"1","1","Criação de instituto para avaliação do ensino superior",1
"1","1","Correção do salário mínimo",1
"0","0.00784","Muda pena para uso de explosão durante furto",0
"1","1","Requer regime de urgência para apreciação de proposição.",1
"1","0.01521","Fim da rotulagem de alimentos transgênicos",0
"1","1e-05","",1
"1","1","Criação de instituto para avaliação do ensino superior",1
"0","1","Regulamentação do trabalho doméstico",1
"1","1","Autoriza União a conceder crédito ao BNDES",1
"0","NaN","Atualiza  normas do acesso ao patrimônio genético de plantas e animais",1
"0","0.00765","Autoriza União a conceder crédito ao BNDES",0
"1","1","Torna crime hediondo o homicídio de policiais",1
"1","1","",1
"1","0","Estatuto do portador de deficiência",0
"1","1","",1
"1","1","",1
"0","0.0097","PL da terceirização",0
