nome_seguido,nome_deputado
edinhosilva,1313luizianne
fernandomarroni,1313luizianne
bohngass,1313luizianne
henriquefontana,1313luizianne
enioverri13,1313luizianne
dep_guimaraes,1313luizianne
jandira_feghali,1313luizianne
luiza_erundina,1313luizianne
sibamachado13,1313luizianne
_mariadorosario,1313luizianne
jeanwyllys_real,1313luizianne
pauloteixeira13,1313luizianne
depeduardocunha,1313luizianne
depchinaglia,1313luizianne
vicentinhopt,1313luizianne
odoricomonteiro,1313luizianne
erikakokay,1313luizianne
dep_guimaraes,adail12321
odoricomonteiro,adail12321
joseairtonpt,adail12321
andrepdt12,adail12321
fabio__reis,adelson_barreto
marciomacedopt,adelson_barreto
valadares_filho,adelson_barreto
laerciofederal,adelson_barreto
eduardobarbosa_,aeltonfreitasmg
depbrunafurlan,aeltonfreitasmg
maragabrilli,aeltonfreitasmg
paulosalimmaluf,aeltonfreitasmg
odelmoleao,aeltonfreitasmg
depjorgesolla,afonso_florence
sibamachado13,afonso_florence
blogdabenedita,afonso_florence
depchinaglia,afonso_florence
luiza_erundina,afonso_florence
deciolimapt,afonso_florence
vicentinhopt,afonso_florence
cacaleao,afonso_florence
orlandosilva_jr,afonso_florence
pauloteixeira13,afonso_florence
enioverri13,afonso_florence
depmarcomaia,afonso_florence
daniel_pcdob,afonso_florence
_mariadorosario,afonso_florence
alice_portugal,afonso_florence
henriquefontana,afonso_florence
fernandomarroni,afonso_florence
depluizsergio,afonso_florence
departhurmaia,afonso_florence
felixmendoncajr,afonso_florence
waldenorpereira,afonso_florence
moemagramacho,afonso_florence
valmirassuncao,afonso_florence
osmarterra,afonso_motta
deputado_busato,afonso_motta
giovanicherini,afonso_motta
pompeodemattos,afonso_motta
romulogouveia,aguinaldo1111
depsostenes,alan_rick
depbolsonaro,alan_rick
depeduardocunha,alan_rick
depbulhoes,alan_rick
marcofeliciano,alan_rick
raimundoangelim,alan_rick
leodopt,alan_rick
sibamachado13,alan_rick
mendonca_filho,alberto_fraga
elizianegama,alberto_fraga
dep_clarissa,alberto_fraga
luciovl_,alberto_fraga
edermauroficial,alberto_fraga
bolsonarosp,alberto_fraga
nilson_leitao,alberto_fraga
efraimfilho,alberto_fraga
jtadeumudalen,alberto_fraga
rossoni,alberto_fraga
arnaldojordy,alberto_fraga
deputadoheinze,alberto_fraga
leonardoquintao,alberto_fraga
depquintella,alberto_fraga
arnaldojardim,alberto_fraga
depbrunafurlan,alberto_fraga
depjefferson,alberto_fraga
marquezellinews,alberto_fraga
mario_heringer,alberto_fraga
daniel_pcdob,alberto_fraga
domingossaviomg,alberto_fraga
lexandreleite,alberto_fraga
celsorussomanno,alberto_fraga
depronaldo,alberto_fraga
walterihoshi,alberto_fraga
marchezan_,alberto_fraga
lelocoimbra_,alberto_fraga
marcus_pestana,alberto_fraga
maragabrilli,alberto_fraga
iracemaportela,alberto_fraga
carlosmelles,alberto_fraga
depjoaocampos,alberto_fraga
augustocmelo,alberto_fraga
fbcfilho,alberto_fraga
sarneyfilho,alberto_fraga
rubensbuenopps,alberto_fraga
felixmendoncajr,alberto_fraga
deputadobacelar,alberto_fraga
dpmarciomarinho,alberto_fraga
deputadopeninha,alberto_fraga
depjuliodelgado,alberto_fraga
depbulhoes,alberto_fraga
celsomaldaner,alberto_fraga
betomansur10,alberto_fraga
depafonsohamm,alberto_fraga
_silviotorres_,alberto_fraga
osmarterra,alberto_fraga
danielcoelho45,alberto_fraga
dephugoleal,alberto_fraga
raul_jungmann,alberto_fraga
darcisioperondi,alberto_fraga
depeduardocunha,alberto_fraga
