"","dem","gov","minoria","pcdob","pdt","pen","phs","pmdb","pmn","pps","pr","prb","prp","prtb","psb","psc","psd","psdb","psdc","psol","pt","ptb","ptn","pv"
"dem",1,0.25,0.87962962962963,0.240740740740741,0.472222222222222,0.305555555555556,0.305555555555556,0.305555555555556,0.268518518518519,0.861111111111111,0.296296296296296,0.268518518518519,0.268518518518519,0.268518518518519,0.712962962962963,0.305555555555556,0.287037037037037,0.935185185185185,0.268518518518519,0.574074074074074,0.222222222222222,0.305555555555556,0.268518518518519,0.509259259259259
"gov",0.25,1,0.175925925925926,0.925925925925926,0.62037037037037,0.805555555555556,0.805555555555556,0.805555555555556,0.907407407407407,0.268518518518519,0.888888888888889,0.907407407407407,0.907407407407407,0.907407407407407,0.435185185185185,0.805555555555556,0.833333333333333,0.222222222222222,0.907407407407407,0.435185185185185,0.962962962962963,0.805555555555556,0.907407407407407,0.268518518518519
"minoria",0.87962962962963,0.175925925925926,1,0.166666666666667,0.435185185185185,0.259259259259259,0.259259259259259,0.259259259259259,0.222222222222222,0.824074074074074,0.231481481481481,0.222222222222222,0.222222222222222,0.222222222222222,0.666666666666667,0.259259259259259,0.277777777777778,0.87037037037037,0.222222222222222,0.537037037037037,0.148148148148148,0.259259259259259,0.222222222222222,0.481481481481481
"pcdob",0.240740740740741,0.925925925925926,0.166666666666667,1,0.657407407407407,0.731481481481482,0.731481481481482,0.731481481481482,0.842592592592593,0.268518518518519,0.814814814814815,0.842592592592593,0.842592592592593,0.842592592592593,0.435185185185185,0.731481481481482,0.777777777777778,0.240740740740741,0.842592592592593,0.490740740740741,0.944444444444444,0.731481481481482,0.842592592592593,0.287037037037037
"pdt",0.472222222222222,0.62037037037037,0.435185185185185,0.657407407407407,1,0.583333333333333,0.583333333333333,0.583333333333333,0.657407407407407,0.453703703703704,0.638888888888889,0.657407407407407,0.657407407407407,0.657407407407407,0.592592592592593,0.583333333333333,0.648148148148148,0.462962962962963,0.657407407407407,0.601851851851852,0.62037037037037,0.583333333333333,0.657407407407407,0.416666666666667
"pen",0.305555555555556,0.805555555555556,0.259259259259259,0.731481481481482,0.583333333333333,1,1,1,0.833333333333333,0.333333333333333,0.87037037037037,0.833333333333333,0.833333333333333,0.833333333333333,0.444444444444444,1,0.851851851851852,0.324074074074074,0.833333333333333,0.342592592592593,0.768518518518518,1,0.833333333333333,0.305555555555556
"phs",0.305555555555556,0.805555555555556,0.259259259259259,0.731481481481482,0.583333333333333,1,1,1,0.833333333333333,0.333333333333333,0.87037037037037,0.833333333333333,0.833333333333333,0.833333333333333,0.444444444444444,1,0.851851851851852,0.324074074074074,0.833333333333333,0.342592592592593,0.768518518518518,1,0.833333333333333,0.305555555555556
"pmdb",0.305555555555556,0.805555555555556,0.259259259259259,0.731481481481482,0.583333333333333,1,1,1,0.833333333333333,0.333333333333333,0.87037037037037,0.833333333333333,0.833333333333333,0.833333333333333,0.444444444444444,1,0.851851851851852,0.324074074074074,0.833333333333333,0.342592592592593,0.768518518518518,1,0.833333333333333,0.305555555555556
"pmn",0.268518518518519,0.907407407407407,0.222222222222222,0.842592592592593,0.657407407407407,0.833333333333333,0.833333333333333,0.833333333333333,1,0.259259259259259,0.898148148148148,1,1,1,0.425925925925926,0.833333333333333,0.824074074074074,0.240740740740741,1,0.37962962962963,0.87037037037037,0.833333333333333,1,0.277777777777778
"pps",0.861111111111111,0.268518518518519,0.824074074074074,0.268518518518519,0.453703703703704,0.333333333333333,0.333333333333333,0.333333333333333,0.259259259259259,1,0.277777777777778,0.259259259259259,0.259259259259259,0.259259259259259,0.731481481481482,0.333333333333333,0.342592592592593,0.907407407407407,0.259259259259259,0.666666666666667,0.25,0.333333333333333,0.259259259259259,0.509259259259259
