"POLITICO","previsto_m5","previsto_g","prob_m5","prob_g"
"ABEL MESQUITA JR.",1,1,0.6,0.514285714285714
"ADAIL CARNEIRO",1,1,0.8,0.604651162790698
"ADALBERTO CAVALCANTI",1,1,0.666666666666667,0.666666666666667
"ADELMO CARNEIRO LEAO",1,1,0.6,0.911111111111111
"ADELSON BARRETO",0,1,0.4,0.571428571428571
"ADEMIR CAMILO",1,1,1,0.657894736842105
"ADILTON SACHETTI",1,1,0.6,0.523809523809524
"AELTON FREITAS",1,1,0.6,0.8
"AFONSO FLORENCE",1,1,0.6,0.891891891891892
"AFONSO HAMM",0,0,0.4,0.434782608695652
"AFONSO MOTTA",0,1,0.4,0.711111111111111
"AGUINALDO RIBEIRO",1,1,0.8,0.909090909090909
"ALAN RICK",1,1,0.6,0.666666666666667
"ALBERTO FILHO",0,0,0.2,0.2
"ALBERTO FRAGA",1,0,0.6,0.386363636363636
"ALCEU MOREIRA",1,0,0.8,0.388888888888889
"ALESSANDRO MOLON",1,1,0.6,0.868421052631579
"ALEX CANZIANI",1,0,0.6,0.478260869565217
"ALEX MANENTE",0,0,0.2,0.375
"ALEXANDRE BALDY",0,0,0.4,0.387096774193548
"ALEXANDRE LEITE",1,0,0.8,0.384615384615385
"ALEXANDRE SERFIOTIS",1,0,0.6,0.488888888888889
"ALEXANDRE VALLE",1,1,0.8,0.6875
"ALFREDO KAEFER",0,0,0.2,0.363636363636364
"ALFREDO NASCIMENTO",1,1,0.6,0.82051282051282
"ALICE PORTUGAL",1,1,0.6,0.893617021276596
"ALIEL MACHADO",1,1,0.6,0.829268292682927
"ALTINEU CORTES",0,1,0.4,0.736842105263158
"ALUISIO MENDES",1,1,0.6,0.685714285714286
"ANA PERUGINI",1,1,0.6,0.916666666666667
"ANDERSON FERREIRA",1,1,0.8,0.769230769230769
"ANDRE ABDON",1,1,1,0.837209302325581
"ANDRE FIGUEIREDO",0,1,0.4,0.75
"ANDRE FUFUCA",1,1,0.6,0.6
"ANDRE MOURA",0,0,0.2,0.476190476190476
"ANDRES SANCHEZ",1,1,0.6,0.9375
"ANGELIM",1,1,0.6,0.909090909090909
"ANIBAL GOMES",0,1,0.2,0.571428571428571
"ANTONIO BALHMANN",0,1,0.4,0.75
"ANTONIO BRITO",1,1,0.5,0.666666666666667
"ANTONIO BULHOES",1,1,0.8,0.86046511627907
"ANTONIO CARLOS MENDES THAME",0,0,0.4,0.434782608695652
"ANTONIO IMBASSAHY",1,0,0.6,0.325
"ANTONIO JACOME",1,1,1,0.71875
"ARLINDO CHINAGLIA",1,1,0.6,0.931818181818182
"ARNALDO FARIA DE SA",1,0,0.8,0.425531914893617
"ARNALDO JORDY",0,0,0.4,0.485714285714286
"ARNON BEZERRA",1,1,0.6,0.727272727272727
"ARTHUR LIRA",1,1,0.6,0.542857142857143
"ARTHUR OLIVEIRA MAIA",0,0,0.2,0.4
"ARTHUR VIRGILIO BISNETO",1,0,0.6,0.326086956521739
"ASSIS CARVALHO",1,1,0.6,0.952380952380952
"ASSIS DO COUTO",1,1,0.6,0.933333333333333
"ATILA LINS",1,1,0.6,0.620689655172414
"ATILA LIRA",1,1,0.8,0.638297872340426
"AUGUSTO CARVALHO",0,0,0.4,0.394736842105263
"AUGUSTO COUTINHO",1,0,0.6,0.311111111111111
"AUREO",0,0,0,0.32258064516129
"BACELAR",1,1,0.8,0.86046511627907
"BALEIA ROSSI",1,1,0.6,0.558139534883721
"BEBETO",0,1,0.2,0.674418604651163
"BENEDITA DA SILVA",1,1,0.6,0.945945945945946
"BENITO GAMA",0,1,0,0.567567567567568
"BENJAMIN MARANHAO",1,0,0.6,0.377777777777778
"BETINHO GOMES",1,0,0.8,0.404255319148936
"BETO FARO",1,1,0.6,0.938775510204082
"BETO MANSUR",0,1,0.25,0.681818181818182
"BETO ROSADO",1,1,0.6,0.5
"BETO SALAME",1,1,0.6,0.861111111111111
"BILAC PINTO",1,1,0.8,0.75609756097561
"BOHN GASS",1,1,0.6,0.902439024390244
"BONIFACIO DE ANDRADA",1,0,0.6,0.393939393939394
"BRUNA FURLAN",1,1,0.6,0.5
"BRUNNY",0,1,0.4,0.735294117647059
"BRUNO ARAUJO",0,0,0.2,0.333333333333333
"BRUNO COVAS",0,0,0.4,0.333333333333333
"CABO DACIOLO",0,1,0.4,0.521739130434783
"CABO SABINO",1,1,0.8,0.714285714285714
"CABUCU BORGES",1,1,0.6,0.511111111111111
"CACA LEAO",1,1,0.6,0.6875
"CAETANO",1,1,0.6,0.930232558139535
"CAIO NARCIO",1,0,0.6,0.395833333333333
"CAPITAO AUGUSTO",0,1,0.4,0.630434782608696
"CAPITAO FABIO ABREU",0,0,0.4,0.375
"CARLOS ANDRADE",1,1,0.6,0.514285714285714
"CARLOS BEZERRA",1,1,0.6,0.666666666666667
"CARLOS EDUARDO CADOCA",1,1,0.6,0.840909090909091
"CARLOS GOMES",1,1,0.6,0.736842105263158
"CARLOS HENRIQUE GAGUIM",1,1,0.6,0.577777777777778
"CARLOS MANATO",1,0,0.6,0.36734693877551
"CARLOS MARUN",1,1,0.6,0.675675675675676
"CARLOS MELLES",1,0,0.6,0.454545454545455
"CARLOS SAMPAIO",0,0,0.2,0.36
"CARLOS ZARATTINI",1,1,0.6,0.906976744186046
"CARMEN ZANOTTO",0,0,0.4,0.418604651162791
"CELIO SILVEIRA",0,0,0.4,0.369565217391304
"CELSO JACOB",1,1,0.6,0.58974358974359
"CELSO MALDANER",1,1,0.6,0.590909090909091
"CELSO PANSERA",0,1,0.2,0.648648648648649
"CELSO RUSSOMANNO",1,1,1,0.896551724137931
"CESAR HALUM",1,1,0.8,0.636363636363636
"CESAR MESSIAS",0,1,0.2,0.5
"CESAR SOUZA",0,1,0.4,0.722222222222222
"CHICO ALENCAR",0,1,0.4,0.551020408163265
"CHICO D ANGELO",1,1,0.6,0.921052631578947
"CHICO LOPES",1,1,0.6,0.9
"CHRISTIANE DE SOUZA YARED",1,1,0.8,0.787234042553192
"CICERO ALMEIDA",1,1,1,0.785714285714286
"CLARISSA GAROTINHO",1,1,0.75,0.655172413793103
"CLAUDIO CAJADO",1,0,0.6,0.35
"CLEBER VERDE",1,1,1,0.9375
"CONCEICAO SAMPAIO",1,1,0.6,0.617021276595745
"COVATTI FILHO",1,0,0.8,0.465116279069767
"CRISTIANE BRASIL",0,0,0.2,0.387096774193548
"DAGOBERTO",1,1,0.6,0.666666666666667
"DAMIAO FELICIANO",0,1,0.4,0.625
"DAMINA PEREIRA",1,1,0.6,0.644444444444444
"DANIEL ALMEIDA",1,1,0.6,0.90625
"DANIEL COELHO",1,0,0.6,0.387755102040816
"DANIEL VILELA",1,1,0.6,0.609756097560976
"DANILO FORTE",1,1,0.6,0.594594594594595
"DANRLEI DE DEUS HINTERHOLZ",1,1,0.6,0.725
"DARCISIO PERONDI",1,1,0.6,0.560975609756098
"DAVIDSON MAGALHAES",1,1,0.6,0.9
