"gov","minoria","pmdb","psd","psdb","pt","resultado","KIND"
"2","2","2","2","2","2","0.99",0
"0","2","2","2","2","2","0.952",0
"2","0","2","2","2","2","0.99",0
"0","0","2","2","2","2","0.912",0
"2","1","2","2","2","2","0.99",0
"0","1","2","2","2","2","0.938",0
"2","2","0","2","2","2","0.852",0
"0","2","0","2","2","2","0.762",0
"2","0","0","2","2","2","0.768",0
"0","0","0","2","2","2","0.644",0
"2","1","0","2","2","2","0.912",0
"0","1","0","2","2","2","0.75",0
"2","2","1","2","2","2","0.91",0
"0","2","1","2","2","2","0.858",0
"2","0","1","2","2","2","0.874",0
"0","0","1","2","2","2","0.772",0
"2","1","1","2","2","2","0.942",0
"0","1","1","2","2","2","0.844",0
"2","2","2","0","2","2","0.776",0
"0","2","2","0","2","2","0.534",0
"2","0","2","0","2","2","0.818",0
"0","0","2","0","2","2","0.57",0
"2","1","2","0","2","2","0.842",0
"0","1","2","0","2","2","0.598",0
"2","2","0","0","2","2","0.474",0
"0","2","0","0","2","2","0.176",0
"2","0","0","0","2","2","0.464",0
"0","0","0","0","2","2","0.178",0
"2","1","0","0","2","2","0.618",0
"0","1","0","0","2","2","0.262",0
"2","2","1","0","2","2","0.538",0
"0","2","1","0","2","2","0.288",0
"2","0","1","0","2","2","0.538",0
"0","0","1","0","2","2","0.292",0
"2","1","1","0","2","2","0.652",0
"0","1","1","0","2","2","0.362",0
"2","2","2","1","2","2","0.968",0
"0","2","2","1","2","2","0.902",0
"2","0","2","1","2","2","0.952",0
"0","0","2","1","2","2","0.856",0
"2","1","2","1","2","2","0.982",0
"0","1","2","1","2","2","0.886",0
"2","2","0","1","2","2","0.802",0
"0","2","0","1","2","2","0.65",0
"2","0","0","1","2","2","0.722",0
"0","0","0","1","2","2","0.548",0
"2","1","0","1","2","2","0.886",0
"0","1","0","1","2","2","0.642",0
"2","2","1","1","2","2","0.868",0
"0","2","1","1","2","2","0.784",0
"2","0","1","1","2","2","0.818",0
"0","0","1","1","2","2","0.696",0
"2","1","1","1","2","2","0.912",0
"0","1","1","1","2","2","0.772",0
"2","2","2","2","0","2","0.99",0
"0","2","2","2","0","2","0.892",0
"2","0","2","2","0","2","0.99",0
"0","0","2","2","0","2","0.848",0
"2","1","2","2","0","2","0.99",0
"0","1","2","2","0","2","0.878",0
"2","2","0","2","0","2","0.754",0
"0","2","0","2","0","2","0.616",0
"2","0","0","2","0","2","0.668",0
"0","0","0","2","0","2","0.498",0
"2","1","0","2","0","2","0.816",0
"0","1","0","2","0","2","0.604",0
"2","2","1","2","0","2","0.854",0
"0","2","1","2","0","2","0.748",0
"2","0","1","2","0","2","0.822",0
"0","0","1","2","0","2","0.662",0
"2","1","1","2","0","2","0.886",0
"0","1","1","2","0","2","0.734",0
"2","2","2","0","0","2","0.766",0
"0","2","2","0","0","2","0.518",0
"2","0","2","0","0","2","0.802",0
"0","0","2","0","0","2","0.548",0
"2","1","2","0","0","2","0.826",0
"0","1","2","0","0","2","0.576",0
"2","2","0","0","0","2","0.312",0
"0","2","0","0","0","2","0.096",0
"2","0","0","0","0","2","0.29",0
"0","0","0","0","0","2","0.092",0
"2","1","0","0","0","2","0.39",0
"0","1","0","0","0","2","0.128",0
"2","2","1","0","0","2","0.414",0
"0","2","1","0","0","2","0.212",0
"2","0","1","0","0","2","0.402",0
"0","0","1","0","0","2","0.206",0
"2","1","1","0","0","2","0.5",0
"0","1","1","0","0","2","0.256",0
"2","2","2","1","0","2","0.92",0
"0","2","2","1","0","2","0.822",0
"2","0","2","1","0","2","0.894",0
"0","0","2","1","0","2","0.768",0
"2","1","2","1","0","2","0.924",0
"0","1","2","1","0","2","0.802",0
