"gov","minoria","pmdb","psd","psdb","pt","TIPO","pps","pr","prp","resultado"
"Sim","Sim","Sim","Sim","Sim","Sim","MPV","Sim","Sim","Sim",347.45234052461
"Não","Sim","Sim","Sim","Sim","Sim","MPV","Sim","Sim","Sim",332.189627910297
"Sim","Não","Sim","Sim","Sim","Sim","MPV","Sim","Sim","Sim",321.589797662749
"Não","Não","Sim","Sim","Sim","Sim","MPV","Sim","Sim","Sim",311.32671374994
"Sim","Liberado","Sim","Sim","Sim","Sim","MPV","Sim","Sim","Sim",331.054486866038
"Não","Liberado","Sim","Sim","Sim","Sim","MPV","Sim","Sim","Sim",322.567200579871
"Sim","Sim","Não","Sim","Sim","Sim","MPV","Sim","Sim","Sim",272.441509474873
"Não","Sim","Não","Sim","Sim","Sim","MPV","Sim","Sim","Sim",265.857217409297
"Sim","Não","Não","Sim","Sim","Sim","MPV","Sim","Sim","Sim",248.34723997338
"Não","Não","Não","Sim","Sim","Sim","MPV","Sim","Sim","Sim",243.770701421106
"Sim","Liberado","Não","Sim","Sim","Sim","MPV","Sim","Sim","Sim",257.391076626817
"Não","Liberado","Não","Sim","Sim","Sim","MPV","Sim","Sim","Sim",254.909842259247
"Sim","Sim","Liberado","Sim","Sim","Sim","MPV","Sim","Sim","Sim",299.556576812261
"Não","Sim","Liberado","Sim","Sim","Sim","MPV","Sim","Sim","Sim",292.000378952097
"Sim","Não","Liberado","Sim","Sim","Sim","MPV","Sim","Sim","Sim",276.793009412444
"Não","Não","Liberado","Sim","Sim","Sim","MPV","Sim","Sim","Sim",272.696870040309
"Sim","Liberado","Liberado","Sim","Sim","Sim","MPV","Sim","Sim","Sim",285.74710348528
"Não","Liberado","Liberado","Sim","Sim","Sim","MPV","Sim","Sim","Sim",284.319070876431
"Sim","Sim","Sim","Não","Sim","Sim","MPV","Sim","Sim","Sim",303.150954955713
"Não","Sim","Sim","Não","Sim","Sim","MPV","Sim","Sim","Sim",289.142351447146
"Sim","Não","Sim","Não","Sim","Sim","MPV","Sim","Sim","Sim",277.919512205406
"Não","Não","Sim","Não","Sim","Sim","MPV","Sim","Sim","Sim",268.096362347905
"Sim","Liberado","Sim","Não","Sim","Sim","MPV","Sim","Sim","Sim",286.860879176034
"Não","Liberado","Sim","Não","Sim","Sim","MPV","Sim","Sim","Sim",278.739819848727
"Sim","Sim","Não","Não","Sim","Sim","MPV","Sim","Sim","Sim",234.372220277839
"Não","Sim","Não","Não","Sim","Sim","MPV","Sim","Sim","Sim",227.716894952915
"Sim","Não","Não","Não","Sim","Sim","MPV","Sim","Sim","Sim",209.632369235858
"Não","Não","Não","Não","Sim","Sim","MPV","Sim","Sim","Sim",204.49599353371
"Sim","Liberado","Não","Não","Sim","Sim","MPV","Sim","Sim","Sim",219.873925808814
"Não","Liberado","Não","Não","Sim","Sim","MPV","Sim","Sim","Sim",216.201240307048
"Sim","Sim","Liberado","Não","Sim","Sim","MPV","Sim","Sim","Sim",263.988914890177
"Não","Sim","Liberado","Não","Sim","Sim","MPV","Sim","Sim","Sim",257.270042214325
"Sim","Não","Liberado","Não","Sim","Sim","MPV","Sim","Sim","Sim",240.078431511944
"Não","Não","Liberado","Não","Sim","Sim","MPV","Sim","Sim","Sim",235.831583702027
"Sim","Liberado","Liberado","Não","Sim","Sim","MPV","Sim","Sim","Sim",249.56524973554
"Não","Liberado","Liberado","Não","Sim","Sim","MPV","Sim","Sim","Sim",247.61190260256
"Sim","Sim","Sim","Liberado","Sim","Sim","MPV","Sim","Sim","Sim",315.512026110385
"Não","Sim","Sim","Liberado","Sim","Sim","MPV","Sim","Sim","Sim",304.906066834546
"Sim","Não","Sim","Liberado","Sim","Sim","MPV","Sim","Sim","Sim",288.632607508492
"Não","Não","Sim","Liberado","Sim","Sim","MPV","Sim","Sim","Sim",282.897218425831
"Sim","Liberado","Sim","Liberado","Sim","Sim","MPV","Sim","Sim","Sim",297.055561150178
"Não","Liberado","Sim","Liberado","Sim","Sim","MPV","Sim","Sim","Sim",293.425455805271
"Sim","Sim","Não","Liberado","Sim","Sim","MPV","Sim","Sim","Sim",249.906290885428
"Não","Sim","Não","Liberado","Sim","Sim","MPV","Sim","Sim","Sim",248.296979489475
"Sim","Não","Não","Liberado","Sim","Sim","MPV","Sim","Sim","Sim",224.475622964235
"Não","Não","Não","Liberado","Sim","Sim","MPV","Sim","Sim","Sim",224.767427395538
"Sim","Liberado","Não","Liberado","Sim","Sim","MPV","Sim","Sim","Sim",233.100351446717
"Não","Liberado","Não","Liberado","Sim","Sim","MPV","Sim","Sim","Sim",235.946835062725
"Sim","Sim","Liberado","Liberado","Sim","Sim","MPV","Sim","Sim","Sim",278.039485113573
"Não","Sim","Liberado","Liberado","Sim","Sim","MPV","Sim","Sim","Sim",274.598477446841
"Sim","Não","Liberado","Liberado","Sim","Sim","MPV","Sim","Sim","Sim",252.806788308961
"Não","Não","Liberado","Liberado","Sim","Sim","MPV","Sim","Sim","Sim",253.132801444214
"Sim","Liberado","Liberado","Liberado","Sim","Sim","MPV","Sim","Sim","Sim",261.013619610542
"Não","Liberado","Liberado","Liberado","Sim","Sim","MPV","Sim","Sim","Sim",264.23111450908
"Sim","Sim","Sim","Sim","Não","Sim","MPV","Sim","Sim","Sim",310.918360689447
"Não","Sim","Sim","Sim","Não","Sim","MPV","Sim","Sim","Sim",299.59563846221
"Sim","Não","Sim","Sim","Não","Sim","MPV","Sim","Sim","Sim",279.69169186568
"Não","Não","Sim","Sim","Não","Sim","MPV","Sim","Sim","Sim",274.095161901394
"Sim","Liberado","Sim","Sim","Não","Sim","MPV","Sim","Sim","Sim",283.233259645181
"Não","Liberado","Sim","Sim","Não","Sim","MPV","Sim","Sim","Sim",280.366577794742
"Sim","Sim","Não","Sim","Não","Sim","MPV","Sim","Sim","Sim",243.488526559059
"Não","Sim","Não","Sim","Não","Sim","MPV","Sim","Sim","Sim",235.175260282042
"Sim","Não","Não","Sim","Não","Sim","MPV","Sim","Sim","Sim",214.484103492889
"Não","Não","Não","Sim","Não","Sim","MPV","Sim","Sim","Sim",207.913456877624
"Sim","Liberado","Não","Sim","Não","Sim","MPV","Sim","Sim","Sim",223.767032250931
"Não","Liberado","Não","Sim","Não","Sim","MPV","Sim","Sim","Sim",218.914410309093
"Sim","Sim","Liberado","Sim","Não","Sim","MPV","Sim","Sim","Sim",271.498269750046
"Não","Sim","Liberado","Sim","Não","Sim","MPV","Sim","Sim","Sim",264.464790063949
"Sim","Não","Liberado","Sim","Não","Sim","MPV","Sim","Sim","Sim",244.419877230554
"Não","Não","Liberado","Sim","Não","Sim","MPV","Sim","Sim","Sim",241.41531946801
"Sim","Liberado","Liberado","Sim","Não","Sim","MPV","Sim","Sim","Sim",249.857395159895
"Não","Liberado","Liberado","Sim","Não","Sim","MPV","Sim","Sim","Sim",249.750825741888
"Sim","Sim","Sim","Não","Não","Sim","MPV","Sim","Sim","Sim",284.226172242856
"Não","Sim","Sim","Não","Não","Sim","MPV","Sim","Sim","Sim",268.420960818257
"Sim","Não","Sim","Não","Não","Sim","MPV","Sim","Sim","Sim",256.588731252456
"Não","Não","Sim","Não","Não","Sim","MPV","Sim","Sim","Sim",245.112154599056
"Sim","Liberado","Sim","Não","Não","Sim","MPV","Sim","Sim","Sim",262.236474678185
"Não","Liberado","Sim","Não","Não","Sim","MPV","Sim","Sim","Sim",252.397071076081
"Sim","Sim","Não","Não","Não","Sim","MPV","Sim","Sim","Sim",215.575302040001
"Não","Sim","Não","Não","Não","Sim","MPV","Sim","Sim","Sim",201.1329942724
"Sim","Não","Não","Não","Não","Sim","MPV","Sim","Sim","Sim",188.139431744811
"Não","Não","Não","Não","Não","Sim","MPV","Sim","Sim","Sim",174.670106341094
"Sim","Liberado","Não","Não","Não","Sim","MPV","Sim","Sim","Sim",198.180897981761
"Não","Liberado","Não","Não","Não","Sim","MPV","Sim","Sim","Sim",185.144363394191
"Sim","Sim","Liberado","Não","Não","Sim","MPV","Sim","Sim","Sim",247.121501223315
