"gov","minoria","pmdb","psd","psdb","pt","PMDB","PSDB","PSD","PT","resultado"
"Sim","Sim","Sim","Sim","Sim","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.838
"Não","Sim","Sim","Sim","Sim","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.84
"Sim","Não","Sim","Sim","Sim","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.756
"Não","Não","Sim","Sim","Sim","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.778
"Sim","Liberado","Sim","Sim","Sim","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.83
"Não","Liberado","Sim","Sim","Sim","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.818
"Sim","Sim","Não","Sim","Sim","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.81
"Não","Sim","Não","Sim","Sim","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.796
"Sim","Não","Não","Sim","Sim","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.744
"Não","Não","Não","Sim","Sim","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.736
"Sim","Liberado","Não","Sim","Sim","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.83
"Não","Liberado","Não","Sim","Sim","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.798
"Sim","Sim","Liberado","Sim","Sim","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.802
"Não","Sim","Liberado","Sim","Sim","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.804
"Sim","Não","Liberado","Sim","Sim","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.74
"Não","Não","Liberado","Sim","Sim","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.756
"Sim","Liberado","Liberado","Sim","Sim","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.82
"Não","Liberado","Liberado","Sim","Sim","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.808
"Sim","Sim","Sim","Não","Sim","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.746
"Não","Sim","Sim","Não","Sim","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.692
"Sim","Não","Sim","Não","Sim","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.708
"Não","Não","Sim","Não","Sim","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.662
"Sim","Liberado","Sim","Não","Sim","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.74
"Não","Liberado","Sim","Não","Sim","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.684
"Sim","Sim","Não","Não","Sim","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.554
