"Link","Classe","Número","Ano.de.autuação","Relator.Atual","Data","Andamento","Observação.Andamento","Ramo.do.direito","Assuntos","fator_m_aurelio","unanimidade"
"Rcl-11323","Rcl",11323,2011,"MIN. ROSA WEBER","22/4/2015","Agravo regimental provido","Decisão: O Tribunal, por maioria, deu provimento ao agravo regimental e julgou procedente a reclamação, vencidos os Ministros Rosa Weber (Relatora), Marco Aurélio e Celso de Mello. Redigirá o acórdão o Ministro Teori Zavascki. O Ministro Luiz Fux retificou a proclamação da assentada anterior para fazer constar que deu provimento ao agravo regimental. Ausente, justificadamente, o Ministro Roberto Barroso, que representa o Tribunal na ""Brazil Conference"", na Universidade de Harvard, e na ""Brazilian Undergraduate Student Conference"", na Universidade de Columbia, Estados Unidos. Presidiu o julgamento o Ministro Ricardo Lewandowski. Plenário, 22.04.2015.","DIREITO PROCESSUAL CIVIL E DO TRABALHO","1 - DIREITO PROCESSUAL CIVIL E DO TRABALHO | JURISDIÇÃO E COMPETÊNCIA | COMPETÊNCIA","0","0"
"ADI-1923","ADI",1923,1998,"MIN. AYRES BRITTO","16/4/2015","Procedente em parte","Decisão: O Tribunal, por maioria, julgou parcialmente procedente o pedido, apenas para conferir interpretação conforme à Constituição à Lei nº 9.637/98 e ao art. 24, XXIV da Lei nº 8.666/93, incluído pela Lei nº 9.648/98, para que: (i) o procedimento de qualificação seja conduzido de forma pública, objetiva e impessoal, com observância dos princípios do caput do art. 37 da Constituição Federal, e de acordo com parâmetros fixados em abstrato segundo o que prega o art. 20 da Lei nº 9.637/98; (ii) a celebração do contrato de gestão seja conduzida de forma pública, objetiva e impessoal, com observância dos princípios do caput do art. 37 da Constituição Federal;  (iii) as hipóteses de dispensa de licitação para contratações (Lei nº 8.666/93, art. 24, XXIV) e outorga de permissão de uso de bem público (Lei nº 9.637/98, art. 12, § 3º) sejam conduzidas de forma pública, objetiva e impessoal, com observância dos princípios do caput do art. 37 da Constituição Federal; (iv) os contratos a serem c","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO","1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | GARANTIAS CONSTITUCIONAIS","0","0"
"AR-1415","AR",1415,1998,"MIN. LUIZ FUX","9/4/2015","Agravo regimental não provido","Decisão: O Tribunal, por maioria e nos termos do voto do Relator, negou provimento ao agravo regimental, vencido o Ministro Teori Zavascki. Ausentes, justificadamente, o Ministro Celso de Mello; participando do 3º Seminário luso-brasileiro, em Portugal, o Ministro Gilmar Mendes, e, neste julgamento, o Ministro Roberto Barroso. Presidiu o julgamento o Ministro Ricardo Lewandowski. Plenário, 09.04.2015.","DIREITO TRIBUTÁRIO","1 - DIREITO TRIBUTÁRIO | CONTRIBUIÇÕES | CONTRIBUIÇÕES SOCIAIS | FINSOCIAL 2 - DIREITO TRIBUTÁRIO | CRÉDITO TRIBUTÁRIO | BASE DE CÁLCULO 3 - DIREITO TRIBUTÁRIO | CRÉDITO TRIBUTÁRIO | ALÍQUOTA 4 - DIREITO TRIBUTÁRIO | CRÉDITO TRIBUTÁRIO | REPETIÇÃO DE INDÉBITO 5 - DIREITO TRIBUTÁRIO | CRÉDITO TRIBUTÁRIO | JUROS/CORREÇÃO MONETÁRIA","0","0"
"AR-1584","AR",1584,2000,"MIN. LUIZ FUX","9/4/2015","Agravo regimental não provido","Decisão: O Tribunal, por maioria e nos termos do voto do Relator, negou provimento ao agravo regimental, vencido o Ministro Teori Zavascki. Ausentes, justificadamente, o Ministro Celso de Mello; participando do 3º Seminário luso-brasileiro, em Portugal, o Ministro Gilmar Mendes, e, neste julgamento, o Ministro Roberto Barroso. Presidiu o julgamento o Ministro Ricardo Lewandowski. Plenário, 09.04.2015.","DIREITO TRIBUTÁRIO","1 - DIREITO TRIBUTÁRIO | CONTRIBUIÇÕES | CONTRIBUIÇÕES SOCIAIS 2 - DIREITO TRIBUTÁRIO | CONTRIBUIÇÕES | CONTRIBUIÇÕES SOCIAIS | PIS","0","0"
"ADI-4552","ADI",4552,2011,"MIN. CÁRMEN LÚCIA","9/4/2015","Liminar deferida","Decisão: O Tribunal, nos termos do voto da Relatora, deferiu a medida cautelar para suspender a eficácia do artigo 305, caput, e § 1º, da Constituição do Estado do Pará, vencido em parte o Ministro Dias Toffoli. Ausentes, justificadamente, o Ministro Celso de Mello e, participando do 3º Seminário luso-brasileiro de Direito, em Portugal, o Ministro Gilmar Mendes. Presidiu o julgamento o Ministro Ricardo Lewandowski. Plenário, 09.04.2015.","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO","1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO","0","0"
"PSV-109","PSV",109,2013,"MINISTRO PRESIDENTE","9/4/2015","Rejeitada proposta de edição de SV"," Decisão: Rejeitada a proposta de edição de súmula vinculante ante a manifestação dos Ministros Dias Toffoli, Marco Aurélio, Cármen Lúcia e Teori Zavascki nesse sentido. Ausentes, justificadamente, o Ministro Celso de Mello e, participando do 3º Seminário luso-brasileiro de Direito, em Portugal, o Ministro Gilmar Mendes. Presidência do Ministro Ricardo Lewandowski. Plenário, 09.04.2014.","DIREITO TRIBUTÁRIO","0 - DIREITO TRIBUTÁRIO | LIMITAÇÕES AO PODER DE TRIBUTAR | IMUNIDADE  | ENTIDADES SEM FINS LUCRATIVOS 1 - DIREITO TRIBUTÁRIO | IMPOSTOS | IRPF/IMPOSTO DE RENDA DE PESSOA FÍSICA | INCIDÊNCIA SOBRE PROVENTOS DE PREVIDÊNCIA PRIVADA","0","0"
"ADI-2949","ADI",2949,2003,"MIN. JOAQUIM BARBOSA","8/4/2015","Questão de ordem","Decisão: O Tribunal, por maioria, resolveu a questão de ordem no sentido de entender que o julgamento foi concluído na sessão do Plenário do dia 26 de setembro de 2007, não havendo a possibilidade de reabertura do julgamento após a proclamação do resultado, vencidos os Ministros Gilmar Mendes, Menezes Direito e Teori Zavascki. Não votou o Ministro Dias Toffoli, sucessor do Ministro Menezes Direito. Redigirá o acórdão o Ministro Marco Aurélio. Ausentes, justificadamente, o Ministro Celso de Mello e, participando do 3º Seminário luso-brasileiro de Direito, em Portugal, o Ministro Gilmar Mendes. Presidiu o julgamento o Ministro Ricardo Lewandowski. Plenário, 08.04.2015.","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO","1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONCURSO PÚBLICO / EDITAL","0","0"
"PSV-102","PSV",102,2013,"MINISTRO PRESIDENTE","8/4/2015","Acolhida proposta de edição de SV","Decisão: O Tribunal, por maioria, mediante a conversão da Súmula nº 685, aprovou a proposta da edição da Súmula vinculante nº 43, nos seguintes termos: ""É inconstitucional toda modalidade de provimento que propicie ao servidor investir-se, sem prévia aprovação em concurso público destinado ao seu provimento, em cargo que não integra a carreira na qual anteriormente investido"", vencidos os Ministros Marco Aurélio e Cármen Lúcia apenas no que tange à redação. Ausentes, justificadamente, o Ministro Celso de Mello e, participando do 3º Seminário luso-brasileiro de Direito, em Portugal, o Ministro Gilmar Mendes. Presidiu o julgamento o Ministro Ricardo Lewandowski. Plenário, 08.04.2015.","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO","0 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIDOR PÚBLICO CIVIL | REGIME ESTATUTÁRIO | NOMEAÇÃO","0","0"
"ADI-5163","ADI",5163,2014,"MIN. LUIZ FUX","8/4/2015","Procedente","Decisão: Colhido o voto do Ministro Ricardo Lewandowski (Presidente), que acompanhou a Ministra Cármen Lúcia no sentido de que outras forças fossem convocadas de imediato, pelo Estado de Goiás, até no máximo o mês de novembro de 2015, com a nomeação dos concursados, não foi atingido o quorum para modulação dos efeitos da declaração de inconstitucionalidade. Ausentes, justificadamente, o Ministro Celso de Mello e, participando do 3º Seminário luso-brasileiro de Direito, em Portugal, o Ministro Gilmar Mendes. Plenário, 08.04.2015.","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO","0 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONTROLE DE CONSTITUCIONALIDADE | INCONSTITUCIONALIDADE MATERIAL","0","0"
"ADI-4357","ADI",4357,2009,"MIN. LUIZ FUX","25/3/2015","Questão de ordem","Decisão: Concluindo o julgamento, o Tribunal, por maioria e nos termos do voto, ora reajustado, do Ministro Luiz Fux (Relator), resolveu a questão de ordem nos seguintes termos: 1) - modular os efeitos para que se dê sobrevida ao regime especial de pagamento de precatórios, instituído pela Emenda Constitucional nº 62/2009, por 5 (cinco) exercícios financeiros a contar de primeiro de janeiro de 2016; 2) - conferir eficácia prospectiva à declaração de inconstitucionalidade dos seguintes aspectos da ADI, fixando como marco inicial a data de conclusão do julgamento da presente questão de ordem (25.03.2015) e mantendo-se válidos os precatórios expedidos ou pagos até esta data, a saber: 2.1.) fica mantida a aplicação do índice oficial de remuneração básica da caderneta de poupança (TR), nos termos da Emenda Constitucional nº 62/2009, até 25.03.2015, data após a qual (i) os créditos em precatórios deverão ser corrigidos pelo Índice de Preços ao Consumidor Amplo Especial (IPCA-E) e (ii) os pre","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO","1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONTROLE DE CONSTITUCIONALIDADE 2 - DIREITO PROCESSUAL CIVIL E DO TRABALHO | LIQUIDAÇÃO / CUMPRIMENTO / EXECUÇÃO DE SENTENÇA | PRECATÓRIO","0","0"
"ADI-4425","ADI",4425,2010,"MIN. LUIZ FUX","25/3/2015","Questão de ordem","Decisão: Concluindo o julgamento, o Tribunal, por maioria e nos termos do voto, ora reajustado, do Ministro Luiz Fux (Relator), resolveu a questão de ordem nos seguintes termos: 1) - modular os efeitos para que se dê sobrevida ao regime especial de pagamento de precatórios, instituído pela Emenda Constitucional nº 62/2009, por 5 (cinco) exercícios financeiros a contar de primeiro de janeiro de 2016; 2) - conferir eficácia prospectiva à declaração de inconstitucionalidade dos seguintes aspectos da ADI, fixando como marco inicial a data de conclusão do julgamento da presente questão de ordem (25.03.2015) e mantendo-se válidos os precatórios expedidos ou pagos até esta data, a saber: 2.1.) fica mantida a aplicação do índice oficial de remuneração básica da caderneta de poupança (TR), nos termos da Emenda Constitucional nº 62/2009, até 25.03.2015, data após a qual (i) os créditos em precatórios deverão ser corrigidos pelo Índice de Preços ao Consumidor Amplo Especial (IPCA-E) e (ii) os pre","DIREITO PROCESSUAL CIVIL E DO TRABALHO","1 - DIREITO PROCESSUAL CIVIL E DO TRABALHO | LIQUIDAÇÃO / CUMPRIMENTO / EXECUÇÃO DE SENTENÇA | PRECATÓRIO | LIQUIDAÇÃO PARCELADA","0","0"
"MS-25763","MS",25763,2005,"MIN. LUIZ FUX","19/3/2015","Concedida a ordem","Decisão: O Tribunal, por maioria, conheceu do mandado de segurança e concedeu a ordem, vencidos os Ministros Eros Grau (Relator), Cármen Lúcia e Rosa Weber. Não votou o Ministro Luiz Fux por suceder ao Ministro Eros Grau (Relator). Impedidos os Ministros Roberto Barroso e Dias Toffoli. Redigirá o acórdão o Ministro Gilmar Mendes. Presidiu o julgamento o Ministro Ricardo Lewandowski. Plenário, 19.03.2015.","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO","1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIDOR PÚBLICO CIVIL | SISTEMA REMUNERATÓRIO E BENEFÍCIOS | GRATIFICAÇÃO INCORPORADA / QUINTOS E DÉCIMOS / VPNI","0","0"
"Rcl-5826","Rcl",5826,2008,"MIN. CÁRMEN LÚCIA","18/3/2015","Improcedente","Decisão: O Tribunal, por maioria, julgou improcedente a reclamação, vencida a Ministra Cármen Lúcia (Relatora) e parcialmente vencido o Ministro Ayres Britto. O Tribunal rejeitou a proposta do Ministro Marco Aurélio, no que foi acompanhado pela Ministra Cármen Lúcia, de conversão do julgamento em diligência. O Ministro Marco Aurélio concedia habeas corpus de ofício. Não votaram, no mérito, os Ministros Roberto Barroso e Rosa Weber por sucederem, respectivamente, aos Ministros Ayres Britto e Ellen Gracie. Por indicação do Ministro Celso de Mello, a Corte decidiu que redigirá o acórdão o Ministro Dias Toffoli. Presidiu o julgamento o Ministro Ricardo Lewandowski. Plenário, 18.03.2015.","DIREITO DO TRABALHO","1 - DIREITO DO TRABALHO | CATEGORIA PROFISSIONAL ESPECIAL | ADVOGADOS","0","0"
