"ID_VOTACAO";"POLITICO";"VOTO";"PARTIDO"
"a059311e13835776e4c99380f9a1a72f";"LUIZA ERUNDINA";"NAO";"PSB"
"a059311e13835776e4c99380f9a1a72f";"ROBERTO ALVES";"SIM";"PRB"
"a059311e13835776e4c99380f9a1a72f";"LAZARO BOTELHO";"SIM";"PP"
"a059311e13835776e4c99380f9a1a72f";"SERGIO BRITO";"SIM";"PSD"
"a059311e13835776e4c99380f9a1a72f";"ERIVELTON SANTANA";"SIM";"PSC"
"a059311e13835776e4c99380f9a1a72f";"OSMAR SERRAGLIO";"SIM";"PMDB"
"a059311e13835776e4c99380f9a1a72f";"BRUNO ARAUJO";"SIM";"PSDB"
"a059311e13835776e4c99380f9a1a72f";"CACA LEAO";"SIM";"PP"
"a059311e13835776e4c99380f9a1a72f";"DIMAS FABIANO";"SIM";"PP"
"a059311e13835776e4c99380f9a1a72f";"CHICO D'ANGELO";"NAO";"PT"
"a059311e13835776e4c99380f9a1a72f";"HELIO LEITE";"SIM";"DEM"
"a059311e13835776e4c99380f9a1a72f";"MARIA DO ROSARIO";"NAO";"PT"
"a059311e13835776e4c99380f9a1a72f";"ODORICO MONTEIRO";"NAO";"PT"
"a059311e13835776e4c99380f9a1a72f";"CARLOS GOMES";"SIM";"PRB"
"a059311e13835776e4c99380f9a1a72f";"WOLNEY QUEIROZ";"NAO";"PDT"
"a059311e13835776e4c99380f9a1a72f";"JOAO RODRIGUES";"SIM";"PSD"
"a059311e13835776e4c99380f9a1a72f";"RUBENS PEREIRA JUNIOR";"NAO";"PCdoB"
"a059311e13835776e4c99380f9a1a72f";"RICARDO TRIPOLI";"SIM";"PSDB"
"a059311e13835776e4c99380f9a1a72f";"JOZI ROCHA";"SIM";"PTB"
"a059311e13835776e4c99380f9a1a72f";"DR. JORGE SILVA";"NAO";"PROS"
"a059311e13835776e4c99380f9a1a72f";"RONEY NEMER";"SIM";"PMDB"
"a059311e13835776e4c99380f9a1a72f";"DULCE MIRANDA";"NAO";"PMDB"
"a059311e13835776e4c99380f9a1a72f";"DECIO LIMA";"NAO";"PT"
"a059311e13835776e4c99380f9a1a72f";"ADELMO CARNEIRO LEAO";"NAO";"PT"
"a059311e13835776e4c99380f9a1a72f";"EDUARDO BOLSONARO";"SIM";"PSC"
"a059311e13835776e4c99380f9a1a72f";"LUIZ CARLOS HAULY";"SIM";"PSDB"
"a059311e13835776e4c99380f9a1a72f";"LUIZ COUTO";"NAO";"PT"
"a059311e13835776e4c99380f9a1a72f";"AFONSO FLORENCE";"NAO";"PT"
"a059311e13835776e4c99380f9a1a72f";"HUGO LEAL";"NAO";"PROS"
"a059311e13835776e4c99380f9a1a72f";"ARTHUR LIRA";"SIM";"PP"
"a059311e13835776e4c99380f9a1a72f";"AELTON FREITAS";"SIM";"PR"
"a059311e13835776e4c99380f9a1a72f";"JARBAS VASCONCELOS";"NAO";"PMDB"
"a059311e13835776e4c99380f9a1a72f";"ELCIONE BARBALHO";"NAO";"PMDB"
"a059311e13835776e4c99380f9a1a72f";"ALAN RICK";"SIM";"PRB"
"a059311e13835776e4c99380f9a1a72f";"ODELMO LEAO";"SIM";"PP"
"a059311e13835776e4c99380f9a1a72f";"MARCOS SOARES";"SIM";"PR"
"a059311e13835776e4c99380f9a1a72f";"ALESSANDRO MOLON";"NAO";"PT"
"a059311e13835776e4c99380f9a1a72f";"FELIPE MAIA";"SIM";"DEM"
